topt,b2,d0,d1,d2,s,mu.opt,tmax,strain,evol.temp,evol.rep,ctmax,sharpness,inf.point,up.conc,upper.tail
26.32455406,0.03218784,0.468550773,8.73E-06,0.367569181,0.040020117,0.980201077,32.76835741,16_1,16,1,32.76864847,0.017154923,19.06390639,0.00094082,6.444094411
26.15269875,0.018932562,1.658852635,1.98E-05,0.342904979,0.075558751,1.001817084,32.83399291,16_1,16,1,32.83138096,0.01726244,17.21332133,0.000679298,6.678682206
25.9104326,0.018112741,1.834921747,5.83E-05,0.309665621,0.044033448,1.028247592,33.05695302,16_1,16,1,33.0583597,0.016071801,16.17281728,0.000660349,7.147927096
26.03831824,0.036726975,0.452482133,3.76E-05,0.325856707,0.04136042,0.981090193,32.73344759,16_1,16,1,32.73287679,0.017143953,18.48784878,0.001109938,6.694558552
26.28423584,0.027742887,0.729310564,1.04E-05,0.362770155,0.044290296,1.009009713,32.79118338,16_1,16,1,32.79083104,0.017479519,18.61026103,0.000873807,6.506595203
26.15976406,0.023209776,1.03956535,1.73E-05,0.34585083,0.047374418,1.00860749,32.9250548,16_1,16,1,32.9197056,0.016404104,17.78577858,0.00074622,6.759941541
26.41413303,0.037488458,0.572156733,1.93E-05,0.348779554,0.055619204,1.031376117,32.64593872,16_1,16,1,32.64795459,0.021017959,19.24752475,0.001319297,6.233821562
25.8120758,0.015823624,2.36892567,8.43E-05,0.298576273,0.041697237,0.979041305,32.97581222,16_1,16,1,32.97845235,0.015819497,15.42394239,0.000603676,7.166376546
26.22438819,0.042652337,0.45981564,0.000115181,0.292951521,0.052239253,1.006929205,33.02951145,16_1,16,1,33.02950767,0.01833094,18.52745275,0.001383665,6.805119478
25.82039447,0.083039036,0.010351061,0.002231125,0.218328026,0.054796273,1.010022589,32.93997895,16_1,16,1,32.93997872,0.018506854,18.67506751,0.002147594,7.119584248
26.21273225,0.03175875,0.750216679,4.01E-05,0.323389316,0.050809369,1.018247947,32.90123296,16_1,16,1,32.90121813,0.018172358,18.25382538,0.001075984,6.688485875
25.95070894,0.019708773,1.732264883,3.82E-05,0.325530542,0.055644093,1.032945232,32.75704409,16_1,16,1,32.75665311,0.017743401,16.78127813,0.000748207,6.805944173
26.44298225,0.039391863,0.250029154,8.31E-06,0.370296597,0.052752776,0.998410211,32.7603836,16_1,16,1,32.76041313,0.018224301,19.67236724,0.001136371,6.317430876
26.36429899,0.041241413,0.452824691,5.29E-05,0.315239291,0.043827757,0.977581744,32.927462,16_1,16,1,32.9271053,0.018598079,18.94149415,0.001318498,6.562806306
25.81701108,0.017790657,1.754010241,3.64E-05,0.324925512,0.054456287,1.006930447,32.81541208,16_1,16,1,32.81818347,0.015977677,16.360036,0.000624587,7.001172392
26.23301817,0.023936095,1.277403007,1.80E-05,0.348127145,0.055853975,0.977378444,32.63204044,16_1,16,1,32.63252355,0.018786465,17.97659766,0.00087016,6.399505375
25.82502701,0.087086003,0.005174021,0.0030714,0.211153239,0.056866112,1.016399058,32.95089071,16_1,16,1,32.95089431,0.018787182,18.68586859,0.002234475,7.125867296
