date,ident,evol.temp,assay.temp,evol.rep,assay.rep,conc.N,gr.rate,errs,sds,comments
102915,206,16,31,2,2,150,0.48711,0.01672,0.04096,ok
102915,207,16,31,2,3,150,0.5641,0.00845,0.0207,ok
102915,208,16,31,2,1,882,0.49042,0.01446,0.03543,ok
102915,209,16,31,2,2,882,0.57922,0.06181,0.1514,ok
102915,210,16,31,2,3,882,0.52611,0.08004,0.19607,ok
102415,211,16,31,3,1,0,0.13979,0.01064,0.02607,ok
102415,212,16,31,3,2,0,0.15335,0.03426,0.08392,ok
102415,213,16,31,3,3,0,0.13888,0.00122,0.00298,ok
102415,214,16,31,3,1,2.5,0.19863,0.03243,0.07944,ok
102415,215,16,31,3,2,2.5,0.20281,0.0228,0.05585,ok
102415,216,16,31,3,3,2.5,0.20605,0.00392,0.0096,ok
102415,217,16,31,3,1,5,0.15769,0.0075,0.01837,ok
102415,218,16,31,3,2,5,0.19388,0.02294,0.05619,ok
102415,219,16,31,3,3,5,0.30039,0.01589,0.03892,ok
102415,220,16,31,3,1,10,0.20431,0.01077,0.02637,ok
102415,221,16,31,3,2,10,0.31744,0.03238,0.0793,ok
102415,222,16,31,3,3,10,,,,bacteria
102415,223,16,31,3,1,20,0.30307,0.04188,0.10259,ok
102415,224,16,31,3,2,20,,,,bacteria
102415,225,16,31,3,3,20,,,,bacteria
102415,226,16,31,3,1,40,0.51737,0.0446,0.10925,ok
102415,227,16,31,3,2,40,0.5058,0.07008,0.17167,ok
102415,228,16,31,3,3,40,0.56397,0.16469,0.40341,ok
102415,229,16,31,3,1,60,0.49042,0.01178,0.02887,ok
102415,230,16,31,3,2,60,0.37917,0.01496,0.03663,ok
102415,231,16,31,3,3,60,0.55385,0.06438,0.15771,ok
102415,232,16,31,3,1,90,0.57748,0.13084,0.32049,ok
102415,233,16,31,3,2,90,0.49663,0.06622,0.1622,ok
102415,234,16,31,3,3,90,0.55671,0.02995,0.07337,ok
102415,235,16,31,3,1,150,0.61834,0.01098,0.02688,ok
102415,236,16,31,3,2,150,0.65059,0.00869,0.02128,ok
102415,237,16,31,3,3,150,0.51028,0.05676,0.09831,ok
102415,238,16,31,3,1,882,0.521,0.00005,0.00011,ok
102415,239,16,31,3,2,882,0.6812,0.1348,0.33019,ok
102415,240,16,31,3,3,882,,,,bacteria
102415,241,16,31,4,1,0,0.10161,0.01938,0.04746,ok
102415,242,16,31,4,2,0,0.05656,0.00739,0.01811,ok
102415,243,16,31,4,3,0,0.09101,0.013,0.03185,ok
102415,244,16,31,4,1,2.5,0.30882,0.09306,0.22795,ok
102415,245,16,31,4,2,2.5,0.2708,0.00066,0.0016,ok
102415,246,16,31,4,3,2.5,,,,bacteria
102415,247,16,31,4,3,5,0.11139,0.02052,0.05027,ok
